,id,dormer_label,roof_label,labled_by,path_index,path
17,0303100000582182,no_dormers,langskap,9,74,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582182.jpg
18,0303100000582192,no_dormers,langskap,9,82,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582192.jpg
19,0303100000582194,no_dormers,langskap,9,84,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582194.jpg
20,0303100000582275,no_dormers,dwarskap,9,91,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582275.jpg
21,0303100000582279,no_dormers,platdak,3,93,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582279.jpg
22,0303100000582284,no_dormers,platdak,9,98,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582284.jpg
23,0303100000582290,no_dormers,platdak,3,104,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582290.jpg
24,0303100000582542,no_dormers,langskap,3,110,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582542.jpg
25,0303100000583286,no_dormers,langskap,9,113,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000583286.jpg
26,0303100000583287,no_dormers,langskap,7,114,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000583287.jpg
27,0303100000583300,no_dormers,langskap,3,124,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000583300.jpg
28,0303100000583302,no_dormers,langskap,9,126,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000583302.jpg
29,0303100000583305,no_dormers,langskap,8,129,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000583305.jpg
30,0303100000583306,no_dormers,langskap,3,130,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000583306.jpg
31,0303100000583309,no_dormers,langskap,3,133,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000583309.jpg
32,0303100000584580,no_dormers,langskap,3,137,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584580.jpg
33,0303100000584587,no_dormers,langskap,7,143,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584587.jpg
34,0303100000584592,no_dormers,langskap,8,148,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584592.jpg
35,0303100000584818,no_dormers,langskap,8,153,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584818.jpg
36,0303100000584819,no_dormers,langskap,7,154,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584819.jpg
37,0303100000584821,dormers,langskap,3,156,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584821.jpg
38,0303100000584824,no_dormers,langskap,7,158,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584824.jpg
39,0303100000584826,no_dormers,langskap,8,160,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584826.jpg
40,0303100000584829,no_dormers,langskap,9,163,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584829.jpg
41,0303100000584832,no_dormers,langskap,3,165,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584832.jpg
42,0303100000584836,no_dormers,langskap,7,169,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584836.jpg
43,0303100000584841,no_dormers,langskap,3,173,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584841.jpg
44,0303100000584846,no_dormers,langskap,3,176,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000584846.jpg
45,0303100000585436,no_dormers,langskap,9,184,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585436.jpg
46,0303100000585440,no_dormers,langskap,8,186,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585440.jpg
47,0303100000585446,no_dormers,langskap,7,189,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585446.jpg
48,0303100000585456,no_dormers,langskap,3,195,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585456.jpg
49,0303100000585459,no_dormers,langskap,8,197,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585459.jpg
50,0303100000585461,no_dormers,langskap,3,198,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585461.jpg
51,0303100000585464,no_dormers,langskap,9,200,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585464.jpg
52,0303100000585470,no_dormers,langskap,7,203,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585470.jpg
53,0303100000585474,no_dormers,langskap,3,205,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585474.jpg
54,0303100000585476,no_dormers,langskap,7,206,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585476.jpg
55,0303100000585486,no_dormers,langskap,9,211,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585486.jpg
56,0303100000585770,no_dormers,dwarskap,3,217,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585770.jpg
57,0303100000585772,no_dormers,dwarskap,9,219,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585772.jpg
58,0303100000585917,no_dormers,langskap,3,221,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585917.jpg
59,0303100000585927,no_dormers,langskap,9,226,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585927.jpg
60,0303100000585934,no_dormers,langskap,3,229,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585934.jpg
61,0303100000585937,no_dormers,langskap,3,231,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000585937.jpg
62,0303100000586255,no_dormers,langskap,7,235,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586255.jpg
63,0303100000586256,no_dormers,langskap,9,236,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586256.jpg
64,0303100000586258,no_dormers,langskap,7,237,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586258.jpg
65,0303100000586403,no_dormers,dwarskap,9,241,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586403.jpg
66,0303100000586411,no_dormers,combinatie,7,243,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586411.jpg
67,0303100000586422,no_dormers,langskap,3,247,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586422.jpg
68,0303100000586424,no_dormers,langskap,9,249,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586424.jpg
69,0303100000586428,no_dormers,langskap,3,252,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586428.jpg
70,0303100000586429,no_dormers,combinatie,9,253,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586429.jpg
71,0303100000586458,no_dormers,combinatie,7,273,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586458.jpg
72,0303100000586461,no_dormers,langskap,7,274,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586461.jpg
73,0303100000586470,no_dormers,langskap,8,277,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586470.jpg
74,0303100000586472,no_dormers,langskap,3,279,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586472.jpg
75,0303100000586491,no_dormers,langskap,3,290,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586491.jpg
76,0303100000586497,no_dormers,langskap,3,293,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586497.jpg
77,0303100000586590,no_dormers,langskap,3,300,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586590.jpg
78,0303100000586594,no_dormers,langskap,7,304,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586594.jpg
79,0303100000586596,no_dormers,langskap,7,306,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586596.jpg
80,0303100000586605,no_dormers,langskap,8,315,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586605.jpg
81,0303100000586606,no_dormers,langskap,9,316,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586606.jpg
82,0303100000586607,no_dormers,langskap,9,317,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586607.jpg
83,0303100000586608,no_dormers,langskap,9,318,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586608.jpg
84,0303100000586768,no_dormers,langskap,9,323,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586768.jpg
85,0303100000586772,no_dormers,langskap,9,327,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586772.jpg
86,0303100000586773,no_dormers,langskap,7,328,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586773.jpg
87,0303100000586775,no_dormers,langskap,3,330,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586775.jpg
88,0303100000586780,no_dormers,langskap,3,335,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586780.jpg
89,0303100000586802,no_dormers,langskap,7,341,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586802.jpg
90,0303100000586847,no_dormers,langskap,3,361,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586847.jpg
91,0303100000586862,no_dormers,langskap,7,369,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586862.jpg
92,0303100000586867,no_dormers,langskap,3,372,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586867.jpg
93,0303100000586890,no_dormers,langskap,9,381,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586890.jpg
94,0303100000586896,no_dormers,langskap,3,387,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586896.jpg
95,0303100000586897,no_dormers,langskap,7,388,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586897.jpg
96,0303100000586899,no_dormers,combinatie,7,390,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586899.jpg
97,0303100000586902,no_dormers,langskap,9,392,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586902.jpg
98,0303100000586905,no_dormers,langskap,9,395,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586905.jpg
99,0303100000586907,no_dormers,langskap,9,397,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586907.jpg
100,0303100000586908,no_dormers,langskap,8,398,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586908.jpg
101,0303100000586919,no_dormers,langskap,7,409,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586919.jpg
102,0303100000586927,no_dormers,langskap,9,413,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586927.jpg
103,0303100000586929,no_dormers,langskap,7,414,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586929.jpg
104,0303100000586959,no_dormers,langskap,9,421,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586959.jpg
105,0303100000586976,no_dormers,langskap,3,429,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586976.jpg
106,0303100000586990,no_dormers,langskap,3,434,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586990.jpg
107,0303100000586992,no_dormers,langskap,9,435,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586992.jpg
108,0303100000586995,no_dormers,langskap,9,437,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586995.jpg
109,0303100000586997,no_dormers,langskap,7,438,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000586997.jpg
110,0303100000587008,no_dormers,langskap,9,443,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587008.jpg
111,0303100000587096,no_dormers,langskap,7,451,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587096.jpg
112,0303100000587097,no_dormers,langskap,7,452,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587097.jpg
113,0303100000587098,no_dormers,langskap,7,453,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587098.jpg
114,0303100000587102,no_dormers,langskap,9,457,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587102.jpg
115,0303100000587103,no_dormers,langskap,8,458,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587103.jpg
116,0303100000587104,no_dormers,langskap,3,459,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587104.jpg
117,0303100000587270,no_dormers,langskap,3,463,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587270.jpg
118,0303100000587273,no_dormers,langskap,3,464,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587273.jpg
119,0303100000587278,no_dormers,langskap,8,467,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587278.jpg
120,0303100000587286,no_dormers,langskap,7,474,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587286.jpg
121,0303100000587326,no_dormers,langskap,9,479,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587326.jpg
122,0303100000587333,no_dormers,langskap,7,482,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587333.jpg
123,0303100000587338,no_dormers,langskap,9,483,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587338.jpg
124,0303100000587347,no_dormers,langskap,3,487,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587347.jpg
125,0303100000587366,no_dormers,langskap,9,493,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587366.jpg
126,0303100000587378,no_dormers,langskap,3,498,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587378.jpg
127,0303100000587380,no_dormers,langskap,3,499,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587380.jpg
128,0303100000587447,no_dormers,langskap,7,510,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587447.jpg
129,0303100000587451,no_dormers,langskap,9,512,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587451.jpg
130,0303100000587703,no_dormers,langskap,9,518,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587703.jpg
131,0303100000587705,no_dormers,langskap,9,519,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587705.jpg
132,0303100000587710,no_dormers,langskap,8,521,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587710.jpg
133,0303100000587726,no_dormers,langskap,3,529,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587726.jpg
134,0303100000587732,no_dormers,combinatie,7,531,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587732.jpg
135,0303100000587734,no_dormers,langskap,7,532,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587734.jpg
136,0303100000587740,no_dormers,langskap,8,535,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587740.jpg
137,0303100000587746,no_dormers,langskap,7,538,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587746.jpg
138,0303100000587756,no_dormers,langskap,9,543,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587756.jpg
139,0303100000587768,no_dormers,langskap,9,545,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587768.jpg
140,0303100000587774,no_dormers,langskap,9,548,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587774.jpg
141,0303100000587778,no_dormers,langskap,8,550,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587778.jpg
142,0303100000587780,no_dormers,langskap,9,551,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587780.jpg
143,0303100000587786,no_dormers,langskap,9,554,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587786.jpg
144,0303100000587788,no_dormers,langskap,9,555,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587788.jpg
145,0303100000587796,no_dormers,langskap,7,559,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587796.jpg
146,0303100000587805,no_dormers,langskap,8,561,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587805.jpg
147,0303100000587811,no_dormers,langskap,7,564,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587811.jpg
148,0303100000587815,no_dormers,langskap,8,568,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587815.jpg
149,0303100000587819,no_dormers,langskap,3,570,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587819.jpg
150,0303100000587823,no_dormers,langskap,9,572,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587823.jpg
151,0303100000587837,no_dormers,langskap,7,579,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587837.jpg
152,0303100000587839,no_dormers,langskap,3,580,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587839.jpg
153,0303100000587863,no_dormers,langskap,7,592,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587863.jpg
154,0303100000587880,no_dormers,langskap,3,597,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587880.jpg
155,0303100000587886,no_dormers,langskap,3,600,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587886.jpg
156,0303100000587893,no_dormers,langskap,3,602,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587893.jpg
157,0303100000587900,no_dormers,langskap,3,605,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587900.jpg
158,0303100000587904,no_dormers,langskap,8,607,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587904.jpg
159,0303100000587931,no_dormers,langskap,3,619,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587931.jpg
160,0303100000587949,no_dormers,langskap,8,628,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587949.jpg
161,0303100000587952,no_dormers,langskap,7,630,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587952.jpg
162,0303100000587959,no_dormers,langskap,7,635,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587959.jpg
163,0303100000587971,no_dormers,langskap,3,640,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000587971.jpg
